"","Genus","Export_Region","Reg_count"
"13","Mandrillus","Africa",0
"26","Pongo","Africa",0
"39","Prolemur","Africa",2
"49","Alouatta","Africa",4
"67","","Africa",4
"111","Microcebus","Africa",6
"91","Chiropotes","Africa",7
"103","Allenopithecus","Africa",8
"135","Aotus","Africa",8
"108","Pithecia","Africa",9
"100","Varecia","Africa",12
"19","Gorilla","Africa",14
"134","Eulemur","Africa",16
"102","Ateles","Africa",19
"23","Pan","Africa",35
"114","Allochrocebus","Africa",87
"138","Propithecus","Africa",120
"126","Miopithecus","Africa",121
"38","Lemur","Africa",142
"66","Cercocebus","Africa",154
"82","Papio","Africa",196.1
"104","Lophocebus","Africa",408
"88","Otolemur","Africa",460
"89","Perodicticus","Africa",525
"75","Colobus","Africa",637
"64","Saimiri","Africa",929
"58","Cebus","Africa",936
"7","Saguinus","Africa",1980
"76","Erythrocebus","Africa",2038
"86","Galago","Africa",2782
"68","Cercopithecus","Africa",2811
"70","Chlorocebus","Africa",7536
"54","Callithrix","Africa",15576
"79","Macaca","Africa",92471
