"","Genus","Export_Region","Reg_count"
"129","Cacajao","America",0
"123","Lagothrix","America",1
"141","Mandrillus","America",1
"142","Pongo","America",1
"99","Varecia","America",2
"105","Macaca","America",2
"128","Leontopithecus","America",5
"97","Pan","America",9
"106","Papio","America",12
"37","Lemur","America",16
"140","Pithecia","America",54
"55","Callithrix","America",64
"101","Aotus","America",89
"48","Alouatta","America",94
"90","Chiropotes","America",134
"50","Ateles","America",172
"60","Saguinus","America",960
"57","Cebus","America",2418
"71","Chlorocebus","America",5314
"63","Saimiri","America",7712
