Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CA,MX,,,15,specimens,,S,W
2010,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,400,400,specimens,,S,W
2010,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,CA,BZ,,,28,specimens,,S,W
2010,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,MX,GT,,61,,specimens,,S,W
2010,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,GT,,,31,bones,,S,C
2010,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,CA,BZ,,,350,specimens,,S,W
2010,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,SV,XX,,4,,live,,,I
2010,I,Brachyteles hypoxanthus,Mammalia,Primates,Atelidae,Brachyteles,US,BR,,,150,derivatives,,S,W
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CN,CH,,,8,live,,Z,C
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,GB,JE,GB,2,,bodies,,S,C
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,GB,JE,XX,1,,bodies,,S,U
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,PE,FR,,,1,live,,Z,C
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,PL,CH,,,1,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,CN,CH,,,7,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,DE,CH,,2,2,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,GB,JE,,1,,bodies,,S,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,ID,CH,,,5,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,BE,DE,4,,live,,B,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,BE,DE,,6,live,,T,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,DE,,2,,live,,T,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,CA,US,,1,,live,,Z,F
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,GB,JE,,1,,bodies,,S,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,NZ,AU,,,1,live,,B,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,RU,FR,,,1,live,,Z,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,RU,NL,,1,,live,,Z,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,ZA,JP,,,1,live,,Z,C
2010,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,DE,GB,,2,,live,,Z,C
2010,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,FR,JE,,2,,live,,Z,C
2010,I,Saguinus geoffroyi,Mammalia,Primates,Cebidae,Saguinus,US,PA,,500,24,specimens,,S,W
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,CN,GB,US,,1,specimens,ml,M,O
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ES,CH,,,1,live,,Z,F
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,GB,JE,GB,1,,bodies,,S,F
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ID,CH,,,2,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,KR,JP,,4,,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,SE,NO,,2,2,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,TH,ZA,,20,20,live,,B,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ZA,GB,XX,,1,specimens,ml,M,O
2010,I,Cercocebus galeritus,Mammalia,Primates,Cercopithecidae,Cercocebus,KZ,RU,,,1,live,,Q,C
2010,I,Cercocebus galeritus,Mammalia,Primates,Cercopithecidae,Cercocebus,US,KE,,,7,specimens,g,S,W
2010,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,RU,PL,,1,1,live,,Z,C
2010,I,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,TM,UZ,,,1,live,,Q,C
2010,I,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,UZ,RU,,1,,live,,Q,C
2010,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,BG,CA,,5,5,live,,Z,C
2010,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,ID,CZ,,,5,live,,Z,C
2010,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,NL,IL,,,4,specimens,,S,C
2010,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,PL,IL,,3,3,live,,Z,C
2010,I,Mandrillus leucophaeus,Mammalia,Primates,Cercopithecidae,Mandrillus,GB,CM,,4.6,,specimens,ml,S,I
2010,I,Mandrillus leucophaeus,Mammalia,Primates,Cercopithecidae,Mandrillus,US,CM,,401,,specimens,,Z,W
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,AM,UA,,1,1,live,,Z,C
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,CN,GN,,10,,live,,Z,C
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,FR,GA,,350,,specimens,,S,F
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,GB,CM,,1.8,,specimens,ml,S,I
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,GB,GA,,,6,skulls,,S,W
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,KZ,RU,,,1,live,,Q,C
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,MX,CA,,2,2,live,,S,C
2010,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,US,DE,,,75,specimens,,S,C
2010,I,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,ZA,NA,,,1,trophies,,H,W
2010,I,Piliocolobus rufomitratus,Mammalia,Primates,Cercopithecidae,Piliocolobus,US,UG,,20,,specimens,,S,I
