Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Export region,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,SV,XX,0,,4,,live,,,I
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CN,CH,Europe,,,8,live,,Z,C
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,PE,FR,Europe,,,1,live,,Z,C
2010,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,PL,CH,Europe,,,1,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,CN,CH,Europe,,,7,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,DE,CH,Europe,,2,2,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,ID,CH,Europe,,,5,live,,Z,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,BE,Europe,DE,4,,live,,B,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,BE,Europe,DE,,6,live,,T,C
2010,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,DE,Europe,,2,,live,,T,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,CA,US,America,,1,,live,,Z,F
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,NZ,AU,Other,,,1,live,,B,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,RU,FR,Europe,,,1,live,,Z,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,RU,NL,Europe,,1,,live,,Z,C
2010,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,ZA,JP,Asia,,,1,live,,Z,C
2010,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,DE,GB,Europe,,2,,live,,Z,C
2010,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,FR,JE,0,,2,,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ES,CH,Europe,,,1,live,,Z,F
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ID,CH,Europe,,,2,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,KR,JP,Asia,,4,,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,SE,NO,Europe,,2,2,live,,Z,C
2010,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,TH,ZA,Africa,,20,20,live,,B,C
2010,I,Cercocebus galeritus,Mammalia,Primates,Cercopithecidae,Cercocebus,KZ,RU,Europe,,,1,live,,Q,C
2010,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,RU,PL,Europe,,1,1,live,,Z,C
