Year,Genus,Export region,Exporter reported quantity,Purpose,Source
2010,Callimico,Europe,8,Z,C
2010,Callimico,Europe,1,Z,C
2010,Callimico,Europe,1,Z,C
2010,Leontopithecus,Europe,7,Z,C
2010,Leontopithecus,Europe,2,Z,C
2010,Leontopithecus,Europe,5,Z,C
2010,Leontopithecus,Europe,6,T,C
2010,Leontopithecus,Other,1,B,C
2010,Leontopithecus,Europe,1,Z,C
2010,Leontopithecus,Asia,1,Z,C
2010,Saguinus,Europe,1,Z,F
2010,Saguinus,Europe,2,Z,C
2010,Saguinus,Europe,2,Z,C
2010,Saguinus,Africa,20,B,C
2010,Cercocebus,Europe,1,Q,C
2010,Cercopithecus,Europe,1,Z,C
2010,Macaca,Asia,1,Q,C
2010,Macaca,America,5,Z,C
2010,Macaca,Europe,5,Z,C
2010,Macaca,Asia,3,Z,C
2010,Mandrillus,Europe,1,Z,C
2010,Mandrillus,Europe,1,Q,C
2010,Mandrillus,America,2,S,C
2010,Rhinopithecus,Asia,2,Z,C
2010,Rhinopithecus,Asia,2,Z,C
2010,Cheirogaleus,America,2,Z,C
2010,Gorilla,Africa,2,N,I
2010,Gorilla,Africa,8,S,W
2010,Gorilla,Europe,1,B,C
2010,Gorilla,Asia,1,Z,C
2010,Pan,Europe,1,Z,C
2010,Pan,Europe,3,Z,C
2010,Pan,Europe,1,Q,C
2010,Pan,Europe,6,Q,C
2010,Pan,Europe,1,Q,C
2010,Pan,America,1,Q,C
2010,Pan,Europe,1,Q,C
2010,Pan,America,1,Q,C
2010,Pan,Asia,1,Q,C
2010,Pan,Europe,1,Q,C
2010,Pan,Asia,2,Q,C
2010,Pan,Europe,4,Q,C
2010,Pan,Europe,2,Q,C
2010,Pan,Africa,3,B,
2010,Pongo,Europe,1,B,C
2010,Pongo,Unk,1,Z,F
2010,Pongo,Asia,1,Z,C
2010,Pongo,Europe,1,Z,C
2010,Pongo,Asia,1,Z,C
2010,Pongo,Asia,3,Z,F
2010,Pongo,Europe,2,Z,F
2010,Pongo,Europe,1,Z,C
2010,Pongo,Asia,1,Q,C
2010,Pongo,Europe,1,Z,C
2010,Pongo,America,2,Z,F
2010,Bunopithecus,Asia,5,B,C
2010,Bunopithecus,Asia,5,B,W
2010,Hylobates,Europe,1,Q,C
2010,Hylobates,Europe,2,Z,C
2010,Hylobates,Asia,1,Q,C
2010,Hylobates,Europe,1,Z,C
2010,Hylobates,Other,1,B,C
2010,Hylobates,Europe,1,Z,F
2010,Nomascus,Asia,1,Z,C
2010,Nomascus,Asia,1,Z,F
2010,Nomascus,Europe,1,B,F
2010,Nomascus,Europe,1,Z,F
2010,Nomascus,Europe,1,Z,F
2010,Symphalangus,Europe,1,Z,C
2010,Symphalangus,Asia,1,Z,C
2010,Symphalangus,Europe,2,Z,C
2010,Symphalangus,Europe,1,T,C
2010,Symphalangus,Europe,1,Z,C
2010,Symphalangus,Europe,1,Z,C
2010,Eulemur,Europe,1,Z,C
2010,Eulemur,Europe,1,Z,C
2010,Eulemur,Asia,2,Z,C
2010,Eulemur,Europe,1,Z,C
2010,Eulemur,Europe,1,Z,F
2010,Eulemur,America,11,Z,F
2010,Lemur,America,6,Z,C
2010,Lemur,Asia,2,Z,C
2010,Lemur,Asia,8,Z,C
2010,Lemur,Europe,2,Z,C
2010,Lemur,America,4,Z,C
2010,Lemur,Europe,5,Z,C
2010,Lemur,Europe,2,Z,C
2010,Lemur,Europe,25,Z,C
2010,Lemur,America,28,Z,C
2010,Lemur,Europe,4,T,C
2010,Lemur,Europe,6,T,C
2010,Lemur,Europe,1,Z,C
2010,Lemur,Europe,1,Z,C
2010,Lemur,Europe,4,Z,C
2010,Lemur,Europe,4,Z,C
2010,Lemur,Asia,3,Z,C
2010,Lemur,Europe,2,Z,C
2010,Lemur,Europe,2,Z,C
2010,Lemur,Europe,3,Z,C
2010,Lemur,Europe,10,Z,C
2010,Lemur,Asia,2,Z,C
2010,Lemur,Europe,2,B,C
2010,Lemur,Europe,2,Z,C
2010,Lemur,Africa,1,Z,C
2010,Lemur,Asia,14,Z,C
2010,Lemur,Europe,1,T,C
2010,Lemur,Europe,1,T,C
2010,Lemur,Europe,1,T,C
2010,Lemur,Europe,3,T,C
2010,Prolemur,Africa,1,S,W
2010,Prolemur,Africa,1,S,C
2010,Prolemur,Europe,1,Z,C
2010,Varecia,Europe,2,Z,C
2010,Varecia,Europe,2,Z,C
2010,Varecia,Europe,4,Z,C
2010,Varecia,Europe,2,Z,C
2010,Varecia,Europe,3,Z,C
2010,Varecia,Europe,2,Z,C
2010,Varecia,Europe,1,Z,C
2010,Varecia,Europe,1,Z,C
2010,Varecia,Europe,4,Z,C
2010,Varecia,Europe,1,Z,C
2010,Varecia,Asia,2,Z,C
2010,Varecia,Europe,1,Z,F
2010,Varecia,Europe,1,Z,C
2010,Varecia,Europe,1,Z,C
2010,Nycticebus,Asia,1,Z,U
2010,Nycticebus,America,3,Z,F
2010,Aotus,Europe,2,Z,C
2010,Alouatta,Europe,1,Z,C
2010,Alouatta,America,20,T,W
2010,Alouatta,Africa,4,Z,W
2010,Alouatta,America,40,T,W
2010,Ateles,Other,1,Q,C
2010,Ateles,America,20,T,W
2010,Ateles,America,40,T,W
2010,Lagothrix,Europe,1,Z,C
2010,Lagothrix,Europe,1,Z,I
2010,Lagothrix,America,1,Z,F
2010,Lagothrix,America,1,Z,I
2010,Callithrix,Europe,2,Z,C
2010,Callithrix,Africa,4,T,C
2010,Callithrix,Europe,1,Z,C
2010,Callithrix,America,8,T,C
2010,Callithrix,Africa,10,T,C
