"","Year","Genus","Count"
"16",2010,"Saguinus",5.41610040220442
"24",2010,"Cercopithecus",4.85981240436167
"25",2010,"Macaca",10.7242580825529
"132",2010,"Lemur",5.01063529409626
"221",2010,"Callithrix",7.04403289727469
"267",2010,"Cebus",5.76205138278018
"331",2010,"Saimiri",6.85118492749374
"385",2010,"Chlorocebus",7.38647084882989
"432",2010,"Erythrocebus",4.72738781871234
"637",2010,"Galago",3.29583686600433
"674",2011,"Saguinus",5.39362754635236
"688",2011,"Cercopithecus",4.35670882668959
"775",2011,"Lemur",4.43081679884331
"850",2011,"Callithrix",7.13489085156588
"906",2011,"Cebus",5.21493575760899
"957",2011,"Saimiri",6.09356977004514
"1009",2011,"Chlorocebus",7.30988148582479
"1034",2011,"Erythrocebus",6.38350663488401
"1050",2011,"Macaca",10.6063127496473
"1218",2011,"Galago",2.07944154167984
"1242",2012,"Saguinus",6.08449941307517
"1260",2012,"Macaca",10.4634747000805
"1343",2012,"Lemur",5.18738580584075
"1430",2012,"Callithrix",7.80710329012598
"1497",2012,"Cebus",5.27299955856375
"1573",2012,"Saimiri",6.19031540585315
"1606",2012,"Cercopithecus",4.14313472639153
"1625",2012,"Chlorocebus",7.14282740116162
"1653",2012,"Erythrocebus",3.95124371858143
"1853",2013,"Saguinus",5.57972982598622
"1863",2013,"Cercopithecus",5.16478597392351
"1866",2013,"Macaca",10.6117203705141
"1951",2013,"Lemur",4.69134788222914
"2030",2013,"Callithrix",6.86171134048073
"2088",2013,"Cebus",5.59098698051086
"2154",2013,"Saimiri",7.20117088328168
"2221",2013,"Chlorocebus",6.2841341610708
"2253",2013,"Erythrocebus",5.01063529409626
"2482",2013,"Galago",2.77258872223978
"2507",2014,"Callithrix",7.14124512235049
"2528",2014,"Saguinus",5.48063892334199
"2543",2014,"Saimiri",6.32793678372919
"2544",2014,"Cercopithecus",5.31320597904179
"2546",2014,"Macaca",10.8049082717436
"2610",2014,"Lemur",5.2040066870768
"2753",2014,"Cebus",5.59471137960184
"2865",2014,"Chlorocebus",6.3919171133926
"2890",2014,"Erythrocebus",4.04305126783455
"3086",2014,"Galago",4.17438726989564
"3106",2015,"Callithrix",6.74405918631135
"3114",2015,"Saguinus",5.49306144334055
"3127",2015,"Cercopithecus",4.39444915467244
"3207",2015,"Lemur",4.67282883446191
"3346",2015,"Cebus",4.87519732320115
"3405",2015,"Saimiri",6.16961073249146
"3450",2015,"Chlorocebus",6.47389069635227
"3475",2015,"Erythrocebus",4.62497281328427
"3489",2015,"Macaca",10.6368645523151
"3651",2015,"Galago",5.41610040220442
"3683",2016,"Saguinus",5.56068163101553
"3700",2016,"Cercopithecus",4.91998092582813
"3701",2016,"Macaca",10.7914405363785
"3763",2016,"Lemur",4.45434729625351
"3821",2016,"Callithrix",6.88243747099785
"3873",2016,"Cebus",6.20455776256869
"3945",2016,"Saimiri",6.33150184989369
"3986",2016,"Chlorocebus",6.44730586254121
"4022",2016,"Erythrocebus",4.85203026391962
"4225",2016,"Galago",4.62497281328427
"4247",2017,"Saguinus",6.03068526026126
"4266",2017,"Macaca",10.8218162064358
"4339",2017,"Lemur",5.17048399503815
"4420",2017,"Callithrix",7.5847730776122
"4472",2017,"Cebus",6.33505425149806
"4528",2017,"Saimiri",6.99117688712121
"4560",2017,"Cercopithecus",5.08759633523238
"4592",2017,"Chlorocebus",6.76734312526539
"4632",2017,"Erythrocebus",5.80814248998044
"4776",2017,"Galago",5.37063802812766
"4807",2018,"Saguinus",5.89440283426485
"4828",2018,"Macaca",10.9345523532185
"4917",2018,"Lemur",4.29045944114839
"4993",2018,"Callithrix",7.13489085156588
"5066",2018,"Cebus",6.17170059741091
"5131",2018,"Saimiri",7.34987370473834
"5167",2018,"Cercopithecus",6.51619307604296
"5225",2018,"Chlorocebus",6.87832646829133
"5262",2018,"Erythrocebus",5.57972982598622
"5441",2018,"Galago",5.46806014113513
"5497",2019,"Saguinus",5.76519110278484
"5512",2019,"Macaca",10.9050197627195
"5593",2019,"Lemur",4.86753445045558
"5657",2019,"Callithrix",7.61134771740362
"5720",2019,"Cebus",6.54534966033442
"5777",2019,"Saimiri",7.12447826249342
"5826",2019,"Cercopithecus",7.21376830811864
"5894",2019,"Chlorocebus",7.41397029019044
"5932",2019,"Erythrocebus",6.5366915975913
"6100",2019,"Galago",6.66568371778241
"6161",2020,"Saguinus",4.85203026391962
"6173",2020,"Cercopithecus",3.95124371858143
"6174",2020,"Macaca",10.8673295862685
"6225",2020,"Lemur",4.21950770517611
"6272",2020,"Callithrix",7.39326309476384
"6326",2020,"Cebus",4.70048036579242
"6361",2020,"Saimiri",5.13579843705026
"6403",2020,"Chlorocebus",7.95542508891267
"6430",2020,"Erythrocebus",5.31320597904179
"6531",2020,"Galago",6.19644412779452
"6582",2021,"Saguinus",6.01126717440416
"6591",2021,"Cercopithecus",4.21950770517611
"6597",2021,"Macaca",10.8753643516498
"6651",2021,"Lemur",4.18965474202643
"6699",2021,"Callithrix",6.82979373751242
"6749",2021,"Cebus",5.40267738187228
"6813",2021,"Saimiri",4.97673374242057
"6841",2021,"Chlorocebus",7.42892719480227
"6857",2021,"Erythrocebus",2.56494935746154
"6946",2021,"Galago",6.08449941307517
"6994",2022,"Saguinus",5.03695260241363
"7005",2022,"Cercopithecus",5.34710753071747
"7009",2022,"Macaca",7.75190533307861
"7086",2022,"Lemur",5.16478597392351
"7152",2022,"Callithrix",6.74993119378857
"7193",2022,"Cebus",4.06044301054642
"7229",2022,"Saimiri",4.49980967033027
"7257",2022,"Chlorocebus",6.93925394604151
"7277",2022,"Erythrocebus",4.21950770517611
"7342",2022,"Galago",5.32300997913841
