Year,Importer reported quantity,Exporter reported quantity,,,Year,Exporter,Importer
2010,4,0,,,2010,50591.1,53044
2010,0,8,,,2011,45133,40423
2010,0,1,,,2012,40462,35578
2010,0,1,,,2013,44870,30879
2010,0,7,,,2014,53079,45008
2010,2,2,,,2015,44920,31538
2010,0,5,,,2016,52460,49241
2010,4,0,,,2017,56628,40471
2010,0,6,,,2018,62890,61500
2010,2,0,,,2019,64720,46855
2010,1,0,,,2020,56036,13628
2010,0,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,2,0,,,,,
2010,2,0,,,,,
2010,0,1,,,,,
2010,0,2,,,,,
2010,4,0,,,,,
2010,2,2,,,,,
2010,20,20,,,,,
2010,0,1,,,,,
2010,1,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,5,5,,,,,
2010,0,5,,,,,
2010,3,3,,,,,
2010,1,1,,,,,
2010,10,0,,,,,
2010,0,1,,,,,
2010,2,2,,,,,
2010,2,0,,,,,
2010,0,2,,,,,
2010,2,0,,,,,
2010,0,2,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,2,0,,,,,
2010,1,0,,,,,
2010,0,2,,,,,
2010,0,8,,,,,
2010,0,1,,,,,
2010,10,0,,,,,
2010,2,0,,,,,
2010,1,1,,,,,
2010,0,1,,,,,
2010,4,0,,,,,
2010,0,3,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,0,6,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,61,0,,,,,
2010,2,0,,,,,
2010,0,1,,,,,
2010,4,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,1,4,,,,,
2010,1,0,,,,,
2010,2,2,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,2,0,,,,,
2010,0,3,,,,,
2010,7,0,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,8,0,,,,,
2010,0,1,,,,,
2010,0,3,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,1,1,,,,,
2010,0,2,,,,,
2010,0,5,,,,,
2010,0,5,,,,,
2010,1,0,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,0,2,,,,,
2010,0,1,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,2,0,,,,,
2010,0,1,,,,,
2010,2,2,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,2,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,2,2,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,1,,,,,
2010,7,11,,,,,
2010,2,0,,,,,
2010,0,6,,,,,
2010,2,0,,,,,
2010,0,2,,,,,
2010,0,8,,,,,
2010,3,0,,,,,
2010,0,2,,,,,
2010,4,4,,,,,
2010,0,5,,,,,
2010,0,2,,,,,
2010,0,25,,,,,
2010,12,0,,,,,
2010,10,0,,,,,
2010,10,28,,,,,
2010,0,4,,,,,
2010,4,0,,,,,
2010,0,6,,,,,
2010,6,0,,,,,
2010,13,0,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,4,0,,,,,
2010,0,4,,,,,
2010,0,4,,,,,
2010,0,3,,,,,
2010,0,2,,,,,
2010,2,2,,,,,
2010,0,3,,,,,
2010,10,10,,,,,
2010,1,0,,,,,
2010,0,2,,,,,
2010,2,0,,,,,
2010,0,2,,,,,
2010,0,2,,,,,
2010,0,1,,,,,
2010,7,14,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,3,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,2,2,,,,,
2010,0,4,,,,,
2010,8,2,,,,,
2010,4,3,,,,,
2010,0,2,,,,,
2010,1,1,,,,,
2010,0,1,,,,,
2010,0,4,,,,,
2010,2,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,0,2,,,,,
2010,0,1,,,,,
2010,2,0,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,3,,,,,
2010,1,0,,,,,
2010,1,2,,,,,
2010,1,1,,,,,
2010,0,20,,,,,
2010,10,0,,,,,
2010,0,4,,,,,
2010,8,40,,,,,
2010,20,0,,,,,
2010,0,1,,,,,
2010,2,0,,,,,
2010,0,20,,,,,
2010,10,0,,,,,
2010,3,0,,,,,
2010,8,40,,,,,
2010,20,0,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,0,1,,,,,
2010,4,0,,,,,
2010,2,2,,,,,
2010,4,4,,,,,
2010,2,1,,,,,
2010,2,0,,,,,
2010,7,8,,,,,
2010,0,10,,,,,
2010,0,2,,,,,
2010,0,8,,,,,
2010,0,10,,,,,
2010,0,6,,,,,
2010,0,1,,,,,
2010,0,4,,,,,
2010,0,4,,,,,
2010,39,58,,,,,
2010,0,40,,,,,
2010,0,8,,,,,
2010,0,40,,,,,
2010,17,8,,,,,
2010,55,432,,,,,
2010,0,50,,,,,
2010,12,0,,,,,
2010,0,80,,,,,
2010,3,2,,,,,
2010,0,6,,,,,
2010,26,36,,,,,
2010,0,20,,,,,
2010,0,8,,,,,
2010,2,2,,,,,
2010,0,20,,,,,
2010,14,11,,,,,
2010,15,224,,,,,
2010,0,10,,,,,
2010,4,0,,,,,
2010,0,4,,,,,
2010,0,2,,,,,
2010,3,0,,,,,
2010,0,1,,,,,
2010,1,0,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,2,1,,,,,
2010,0,8,,,,,
2010,10,2,,,,,
2010,0,10,,,,,
2010,4,0,,,,,
2010,2,0,,,,,
2010,0,2,,,,,
2010,0,4,,,,,
2010,3,6,,,,,
2010,0,2,,,,,
2010,26,31,,,,,
2010,5,0,,,,,
2010,15,0,,,,,
2010,4,0,,,,,
2010,0,2,,,,,
2010,0,4,,,,,
2010,0,10,,,,,
2010,0,50,,,,,
2010,0,1,,,,,
2010,0,2,,,,,
2010,2,0,,,,,
2010,0,62,,,,,
2010,30,30,,,,,
2010,6,4,,,,,
2010,11,11,,,,,
2010,2,2,,,,,
2010,0,1,,,,,
2010,0,12,,,,,
2010,10,0,,,,,
2010,0,1,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,6,0,,,,,
2010,3,0,,,,,
2010,20,40,,,,,
2010,40,0,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,0,5,,,,,
2010,30,29,,,,,
2010,0,1,,,,,
2010,1,1,,,,,
2010,1,0,,,,,
2010,4,4,,,,,
2010,0,10,,,,,
2010,0,1,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,1,1,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,2,0,,,,,
2010,0,10,,,,,
2010,2,0,,,,,
2010,0,40,,,,,
2010,80,0,,,,,
2010,0,5,,,,,
2010,0,3,,,,,
2010,4,0,,,,,
2010,0,3,,,,,
2010,10,1,,,,,
2010,0,10,,,,,
2010,0,40,,,,,
2010,0,62,,,,,
2010,4,4,,,,,
2010,12,0,,,,,
2010,4,0,,,,,
2010,30,0,,,,,
2010,4,0,,,,,
2010,0,4,,,,,
2010,158,435,,,,,
2010,343,0,,,,,
2010,50,0,,,,,
2010,0,2,,,,,
2010,10,0,,,,,
2010,0,12,,,,,
2010,8,8,,,,,
2010,0,1,,,,,
2010,0,46,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,70,,,,,
2010,10,30,,,,,
2010,0,10,,,,,
2010,0,9,,,,,
2010,20,20,,,,,
2010,40,295,,,,,
2010,4,0,,,,,
2010,30,0,,,,,
2010,5,5,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,3,,,,,
2010,0,5,,,,,
2010,0,1,,,,,
2010,2,0,,,,,
2010,0,4,,,,,
2010,0,5,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,10,,,,,
2010,0,5,,,,,
2010,0,6,,,,,
2010,0,6,,,,,
2010,4,0,,,,,
2010,0,10,,,,,
2010,0,12,,,,,
2010,10,20,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,8,0,,,,,
2010,10,10,,,,,
2010,1,0,,,,,
2010,0,1,,,,,
2010,0,2,,,,,
2010,0,8,,,,,
2010,2,2,,,,,
2010,0,2,,,,,
2010,0,5,,,,,
2010,8,0,,,,,
2010,0,1,,,,,
2010,0,8,,,,,
2010,0,11,,,,,
2010,0,6,,,,,
2010,0,6,,,,,
2010,0,20,,,,,
2010,0,1,,,,,
2010,10,0,,,,,
2010,0,6,,,,,
2010,0,60,,,,,
2010,0,60,,,,,
2010,0,80,,,,,
2010,0,210,,,,,
2010,0,17,,,,,
2010,17,0,,,,,
2010,0,17,,,,,
2010,0,3,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,0,1,,,,,
2010,5,0,,,,,
2010,0,12,,,,,
2010,0,15,,,,,
2010,0,20,,,,,
2010,0,50,,,,,
2010,0,444,,,,,
2010,0,8,,,,,
2010,70,0,,,,,
2010,0,70,,,,,
2010,60,60,,,,,
2010,0,2,,,,,
2010,1,0,,,,,
2010,100,0,,,,,
2010,0,6,,,,,
2010,4,0,,,,,
2010,0,2,,,,,
2010,0,200,,,,,
2010,20,0,,,,,
2010,30,0,,,,,
2010,12,42,,,,,
2010,0,28,,,,,
2010,28,152,,,,,
2010,0,2,,,,,
2010,0,1,,,,,
2010,15,0,,,,,
2010,12,0,,,,,
2010,0,1,,,,,
2010,4,4,,,,,
2010,0,3,,,,,
2010,0,25,,,,,
2010,20,20,,,,,
2010,0,2,,,,,
2010,0,2,,,,,
2010,1,2,,,,,
2010,0,6,,,,,
2010,0,1,,,,,
2010,0,40,,,,,
2010,0,14,,,,,
2010,7,0,,,,,
2010,0,5,,,,,
2010,5,0,,,,,
2010,0,3,,,,,
2010,0,540,,,,,
2010,0,2,,,,,
2010,0,1128,,,,,
2010,0,102,,,,,
2010,0,465,,,,,
2010,0,316,,,,,
