"","Year","Type","Value"
"1",2010,"Importer",53044
"2",2010,"Exporter",50591.1
"3",2011,"Importer",40423
"4",2011,"Exporter",45133
"5",2012,"Importer",35578
"6",2012,"Exporter",40462
"7",2013,"Importer",30879
"8",2013,"Exporter",44870
"9",2014,"Importer",45008
"10",2014,"Exporter",53079
"11",2015,"Importer",31538
"12",2015,"Exporter",44920
"13",2016,"Importer",49241
"14",2016,"Exporter",52460
"15",2017,"Importer",40471
"16",2017,"Exporter",56628
"17",2018,"Importer",61500
"18",2018,"Exporter",62780
"19",2019,"Importer",46855
"20",2019,"Exporter",64691
"21",2020,"Importer",39508
"22",2020,"Exporter",58765
"23",2021,"Importer",17473
"24",2021,"Exporter",57207
"25",2022,"Importer",14271
"26",2022,"Exporter",5722
