"","Year","Genus","Export.region","Exporter.reported.quantity","Purpose","Source"
"26",2010,"Leontopithecus","Asia",1,"Z","C"
"34",2010,"Saguinus","Asia",NA,"Z","C"
"36",2010,"Saguinus","Africa",20,"B","C"
"41",2010,"Macaca","Asia",1,"Q","C"
"46",2010,"Macaca","Asia",3,"Z","C"
"50",2010,"Mandrillus","Africa",NA,"Z","C"
"61",2010,"Rhinopithecus","Asia",NA,"S","C"
"62",2010,"Rhinopithecus","Asia",2,"Z","C"
"65",2010,"Rhinopithecus","Asia",NA,"S","C"
"66",2010,"Rhinopithecus","Asia",2,"Z","C"
"76",2010,"Cheirogaleus","Asia",NA,"Z","I"
"114",2010,"Gorilla","Africa",8,"S","W"
"116",2010,"Gorilla","Africa",NA,"Z","C"
"120",2010,"Gorilla","Asia",1,"Z","C"
"141",2010,"Pan","Asia",NA,"E","C"
"146",2010,"Pan","Africa",NA,"Z","C"
"158",2010,"Pan","Asia",NA,"Z","C"
"163",2010,"Pan","Asia",2,"Q","C"
"176",2010,"Pan","Africa",NA,"Q","C"
"178",2010,"Pan","Africa",3,"B",""
"179",2010,"Pan","Africa",NA,"E","W"
"193",2010,"Pongo","Asia",1,"Z","C"
"196",2010,"Pongo","Asia",NA,"Z","C"
"197",2010,"Pongo","Asia",1,"Z","C"
"198",2010,"Pongo","Asia",3,"Z","F"
"202",2010,"Pongo","Africa",NA,"Z","F"
"207",2010,"Pongo","Asia",1,"Q","C"
"208",2010,"Pongo","Asia",NA,"T","C"
"219",2010,"Bunopithecus","Asia",5,"B","C"
"220",2010,"Bunopithecus","Asia",5,"B","W"
"233",2010,"Nomascus","Asia",1,"Z","C"
"234",2010,"Nomascus","Asia",1,"Z","F"
"244",2010,"Symphalangus","Asia",1,"Z","C"
"276",2010,"Eulemur","Asia",2,"Z","C"
"296",2010,"Lemur","Asia",NA,"B","C"
"301",2010,"Lemur","America",4,"Z","C"
"312",2010,"Lemur","Asia",NA,"Z","C"
"322",2010,"Lemur","Asia",3,"Z","C"
"329",2010,"Lemur","Asia",2,"Z","C"
"330",2010,"Lemur","Asia",NA,"Z","C"
"333",2010,"Lemur","Africa",1,"Z","C"
"334",2010,"Lemur","Asia",14,"Z","C"
"341",2010,"Prolemur","Africa",1,"S","W"
"342",2010,"Prolemur","Africa",NA,"Z","F"
"344",2010,"Prolemur","Africa",1,"S","C"
"367",2010,"Varecia","Asia",2,"Z","C"
"378",2010,"Nycticebus","Asia",NA,"B","F"
"406",2010,"Alouatta","America",20,"T","W"
"407",2010,"Alouatta","America",NA,"Z","W"
"408",2010,"Alouatta","Africa",4,"Z","W"
"409",2010,"Alouatta","America",40,"T","W"
"410",2010,"Alouatta","America",NA,"Z","W"
"415",2010,"Ateles","America",20,"T","W"
"416",2010,"Ateles","America",NA,"Z","W"
"418",2010,"Ateles","America",40,"T","W"
"419",2010,"Ateles","America",NA,"Z","W"
