Asia_graph_data,,,,
Species,Count,Before,Break,After
Macaca,510719,150,100,68
Pongo,123,123,#N/A,#N/A
Trachypithcus,110,110,#N/A,#N/A
Hylobates,99,99,#N/A,#N/A
Symphalangus,53,53,#N/A,#N/A
Semnopithecus,35,35,#N/A,#N/A
Nycticebus,29,29,#N/A,#N/A
Tarsius,24,24,#N/A,#N/A
Presbytis,14,14,#N/A,#N/A
Nasalis,12,12,#N/A,#N/A
,,,,
Title,Number,,,
Max,510725,,,
Restart,510650,,,
Break,150,,,
Min,0,,,
,,,,
,,,,
,,,,
Label,Xpos,Ypos,,
0,0,0,,
50,,50,,
100,,100,,
150,,150,,
,0.25,200,,
510650,,250,,
510700,,300,,
510750,,350,,
,,,,
AmericanTropics_graph_data,,,,
Species,Count,,,
Saimiri,7602,,,
Chlorocebus,4253,,,
Cebus,2576,,,
Saguinus,920,,,
Ateles,141,,,
Chiropotes,110,,,
Alouatta,94,,,
Aotus,81,,,
Callithrix,64,,,
Pithecia,35,,,
,,,,
Africa_graph_data,,,,
Count,Before,Break,After,
77895,17500,5000,5394,
14009,14009,#N/A,#N/A,
6004,6004,#N/A,#N/A,
2635,2635,#N/A,#N/A,
2147,2147,#N/A,#N/A,
1984,1984,#N/A,#N/A,
1650,1650,#N/A,#N/A,
877,877,#N/A,#N/A,
836,836,#N/A,#N/A,
513,513,#N/A,#N/A,
,,,,
Number,,,,
77500,,,,
72500,,,,
17500,,,,
0,,,,
,,,,
,,,,
,,,,
,,,,
Xpos,Ypos,,,
0,0,,,
,2500,,,
,5000,,,
,7500,,,
,10000,,,
,12500,,,
,15000,,,
,17500,,,
0.25,20000,,,
,22500,,,
,25000,,,
,27500,,,
,30000,,,
